#Wavelength Flux Error
4093.6 26.62693977 1.514993952
4094.4 27.15574837 1.555029575
4095.2 26.75837898 1.482699753
4096 29.35834122 1.526290774
4096.8 27.81186867 1.487306312
4097.6 24.83680916 1.471829754
4098.4 28.17343712 1.47771728
4099.2 27.26710892 1.526616296
4100 30.5945797 1.572166132
4100.8 24.62418365 1.475574262
4101.6 26.12906647 1.472556162
4102.4 26.57697678 1.485367868
4103.2 25.59130859 1.500193704
4104 26.11645889 1.495523906
4104.8 26.59239388 1.480560793
4105.6 25.98007202 1.45342766
4106.4 26.0534687 1.438225121
4107.2 28.54797173 1.491966716
4108 29.00375366 1.433823946
4108.8 26.27250099 1.424688154
4109.6 25.04595757 1.462848793
4110.4 27.72031784 1.463179115
4111.2 28.71079445 1.455321465
4112 29.26505089 1.482234077
4112.8 26.76431084 1.50321163
4113.6 26.2094059 1.466735368
4114.4 29.70938492 1.496930201
4115.2 28.71362495 1.496144433
4116 29.77956772 1.48346802
4116.8 25.76992989 1.498618991
4117.6 27.57753944 1.49587946
4118.4 27.83077431 1.454777957
4119.2 27.00441933 1.434052276
4120 24.41480064 1.441669731
4120.8 26.11012268 1.450218049
4121.6 25.48747444 1.491475595
4122.4 26.77027893 1.473828895
4123.2 27.15146065 1.476414457
4124 27.82687759 1.511897801
4124.8 25.67603874 1.426650743
4125.6 30.47289848 1.479610682
4126.4 27.21063805 1.480658348
4127.2 27.20041275 1.467360606
4128 27.40909004 1.482870511
4128.8 28.16388321 1.41524687
4129.6 26.88062286 1.444144317
4130.4 26.92195129 1.46006613
4131.2 26.658144 1.459606482
4132 28.81041527 1.434837789
4132.8 25.75998306 1.410127835
4133.6 25.83639526 1.425485822
4134.4 27.01400375 1.474127474
4135.2 29.85266113 1.493263945
4136 28.42931938 1.479272292
4136.8 27.53369331 1.514810044
4137.6 27.72832298 1.426020823
4138.4 29.21419144 1.445958544
4139.2 29.35489845 1.47682283
4140 25.64154434 1.439478601
4140.8 25.77860832 1.414466132
4141.6 26.54594803 1.393881358
4142.4 26.5664711 1.407646912
4143.2 26.29206467 1.371780534
4144 29.08769608 1.461926906
4144.8 27.70653915 1.417868071
4145.6 24.20992661 1.3760236
4146.4 27.27520561 1.45396512
4147.2 25.51966095 1.43645421
4148 26.53349686 1.435160549
4148.8 27.33492851 1.450015845
4149.6 28.40743828 1.43660524
4150.4 24.56157875 1.39632075
4151.2 27.26011276 1.371197688
4152 28.53289223 1.417493213
4152.8 29.35153008 1.481379747
4153.6 27.01891327 1.442926248
4154.4 27.68426895 1.438327978
4155.2 28.00619316 1.427470871
4156 27.4541893 1.438227072
4156.8 27.21422577 1.44098565
4157.6 26.13217163 1.440540576
4158.4 28.28433418 1.460640756
4159.2 26.34412956 1.455375298
4160 29.28043556 1.511052353
4160.8 27.71171951 1.477263342
4161.6 27.9975338 1.386554883
4162.4 28.23881149 1.478525308
4163.2 27.32216644 1.434505086
4164 27.42547226 1.377900447
4164.8 24.20393753 1.419255834
4165.6 27.6470108 1.398842655
4166.4 26.88567543 1.467193362
4167.2 30.51781654 1.452610733
4168 27.47083282 1.440804442
4168.8 29.58746719 1.444228743
4169.6 25.99884796 1.437546771
4170.4 26.38187218 1.431575826
4171.2 28.74444771 1.455718968
4172 28.63306808 1.467359712
4172.8 26.17218208 1.454932639
4173.6 24.44270706 1.489935589
4174.4 26.06487656 1.433045665
4175.2 25.95230484 1.442373655
4176 28.38042831 1.430862265
4176.8 28.28736115 1.399841876
4177.6 28.15877724 1.461218292
4178.4 26.67228127 1.451493789
4179.2 27.2920475 1.41465724
4180 27.13084793 1.446466066
4180.8 26.66900063 1.442016917
4181.6 27.55945206 1.413049893
4182.4 26.51142883 1.363077867
4183.2 25.38899231 1.386348454
4184 28.19704628 1.37902148
4184.8 25.90365028 1.365920958
4185.6 28.57356071 1.427313864
4186.4 31.25351334 1.402656241
4187.2 26.9699707 1.365449857
4188 25.62673759 1.382493269
4188.8 25.37067604 1.380847938
4189.6 26.31065941 1.384854894
4190.4 24.23374939 1.346821444
4191.2 29.22002029 1.410686466
4192 26.04143524 1.347165012
4192.8 25.05144882 1.378435994
4193.6 26.0450573 1.361986429
4194.4 24.32686996 1.350951772
4195.2 28.96550751 1.380181842
4196 25.24792862 1.389986775
4196.8 28.73308563 1.39471859
4197.6 28.98317909 1.394214487
4198.4 26.85630798 1.35755078
4199.2 25.76547241 1.354670763
4200 26.78754044 1.332593757
4200.8 27.92519379 1.322821056
4201.6 28.22674942 1.344600403
4202.4 27.01182175 1.361121357
4203.2 26.30149078 1.339649578
4204 26.28893471 1.363148594
4204.8 28.16495132 1.356343888
4205.6 29.0885601 1.377415523
4206.4 27.63255882 1.338308706
4207.2 25.5284729 1.331893994
4208 27.79847908 1.345770525
4208.8 27.79125595 1.36597291
4209.6 27.38849449 1.354339264
4210.4 26.4496994 1.338115941
4211.2 27.38123703 1.332714935
4212 27.97839737 1.328525326
4212.8 26.13290787 1.266603716
4213.6 25.09432793 1.321376057
4214.4 23.89374542 1.331776067
4215.2 19.52602005 1.254963805
4216 16.73745155 1.17559934
4216.8 15.60208607 1.11696295
4217.6 13.74538517 1.087131991
4218.4 14.31913471 1.115222996
4219.2 17.5485611 1.246528011
4220 25.18992043 1.303126231
4220.8 28.32531357 1.321383139
4221.6 27.51376915 1.334370657
4222.4 28.66540527 1.346977936
4223.2 29.25746155 1.329199772
4224 27.24584198 1.32308507
4224.8 27.75016975 1.293468381
4225.6 27.51746559 1.308537847
4226.4 29.5326519 1.297598523
4227.2 28.22790527 1.317706741
4228 29.58212471 1.35739445
4228.8 29.58941078 1.318145271
4229.6 28.71697044 1.265710823
4230.4 26.2644577 1.24119303
4231.2 28.64492989 1.272128645
4232 28.95316315 1.297581203
4232.8 26.60699463 1.268651418
4233.6 28.83393097 1.250940313
4234.4 27.69449806 1.275255819
4235.2 23.66313744 1.253246754
4236 16.77137566 1.190304646
4236.8 10.06612301 1.002158068
4237.6 6.423167706 0.872521277
4238.4 3.753920555 0.742953865
4239.2 1.015354514 0.688046589
4240 0.606416464 0.667503375
4240.8 3.245342493 0.724557772
4241.6 7.155795574 0.847478334
4242.4 9.080293655 0.930512986
4243.2 12.86376381 1.045711188
4244 15.06363487 1.172640011
4244.8 17.61300087 1.205538262
4245.6 15.17340088 1.253577213
4246.4 18.2207489 1.242970817
4247.2 18.43148041 1.260090409
4248 21.73887253 1.26146453
4248.8 26.93439484 1.276668737
4249.6 26.70811462 1.256634231
4250.4 30.2857399 1.349705806
4251.2 30.45643616 1.377282985
4252 31.52696037 1.319455893
4252.8 27.7689724 1.281742489
4253.6 30.16019058 1.313054969
4254.4 30.31079865 1.340866511
4255.2 28.55645752 1.313632
4256 29.60654259 1.303324783
4256.8 30.91824913 1.347313387
4257.6 28.05912209 1.291998949
4258.4 31.23798561 1.342653023
4259.2 29.10966682 1.349723173
4260 30.37601089 1.349663893
4260.8 31.47732925 1.369274529
4261.6 29.85115623 1.291858147
4262.4 27.95734024 1.321791419
4263.2 23.57840729 1.294040627
4264 16.41687012 1.190298062
4264.8 9.696521759 0.935803439
4265.6 6.115882397 0.831600029
4266.4 2.998409748 0.756221161
4267.2 3.325740337 0.753470306
4268 4.903993607 0.842504166
4268.8 11.73843575 1.004928487
4269.6 16.6439724 1.176211173
4270.4 19.12362862 1.29156294
4271.2 21.35088539 1.29177681
